ds,country,polygon_source,polygon_id,polygon_name,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users,baseline_name,baseline_type
2020-03-01,DNK,GADM,DNK.1_1,Hovedstaden,0.02202,0.20897,full_february,DAY_OF_WEEK
2020-03-02,DNK,GADM,DNK.1_1,Hovedstaden,0.04491,0.12164,full_february,DAY_OF_WEEK
2020-03-03,DNK,GADM,DNK.1_1,Hovedstaden,0.01248,0.12702,full_february,DAY_OF_WEEK
2020-03-04,DNK,GADM,DNK.1_1,Hovedstaden,0.02169,0.12285,full_february,DAY_OF_WEEK
2020-03-05,DNK,GADM,DNK.1_1,Hovedstaden,0.02093,0.11835,full_february,DAY_OF_WEEK
2020-03-06,DNK,GADM,DNK.1_1,Hovedstaden,-0.02334,0.12275,full_february,DAY_OF_WEEK
2020-03-07,DNK,GADM,DNK.1_1,Hovedstaden,0.03811,0.18149,full_february,DAY_OF_WEEK
2020-03-08,DNK,GADM,DNK.1_1,Hovedstaden,0.00554,0.22124,full_february,DAY_OF_WEEK
2020-03-09,DNK,GADM,DNK.1_1,Hovedstaden,-0.00777,0.13857,full_february,DAY_OF_WEEK
2020-03-10,DNK,GADM,DNK.1_1,Hovedstaden,-0.02019,0.14309,full_february,DAY_OF_WEEK
2020-03-11,DNK,GADM,DNK.1_1,Hovedstaden,-0.00936,0.13439,full_february,DAY_OF_WEEK
2020-03-12,DNK,GADM,DNK.1_1,Hovedstaden,-0.16982,0.2015,full_february,DAY_OF_WEEK
2020-03-13,DNK,GADM,DNK.1_1,Hovedstaden,-0.30892,0.25053,full_february,DAY_OF_WEEK
2020-03-14,DNK,GADM,DNK.1_1,Hovedstaden,-0.17144,0.26858,full_february,DAY_OF_WEEK
2020-03-15,DNK,GADM,DNK.1_1,Hovedstaden,-0.31458,0.36272,full_february,DAY_OF_WEEK
2020-03-16,DNK,GADM,DNK.1_1,Hovedstaden,-0.29011,0.28263,full_february,DAY_OF_WEEK
2020-03-17,DNK,GADM,DNK.1_1,Hovedstaden,-0.30367,0.2811,full_february,DAY_OF_WEEK
