ds,country,polygon_source,polygon_id,polygon_name,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users,baseline_name,baseline_type
2020-03-01,GBR,GADM,GBR.1_1,England,0.05035,0.2454,full_february,DAY_OF_WEEK
2020-03-02,GBR,GADM,GBR.1_1,England,0.03077,0.14971,full_february,DAY_OF_WEEK
2020-03-03,GBR,GADM,GBR.1_1,England,0.01637,0.14718,full_february,DAY_OF_WEEK
2020-03-04,GBR,GADM,GBR.1_1,England,0.00939,0.14608,full_february,DAY_OF_WEEK
2020-03-05,GBR,GADM,GBR.1_1,England,-0.00062,0.14901,full_february,DAY_OF_WEEK
2020-03-06,GBR,GADM,GBR.1_1,England,0.02654,0.13431,full_february,DAY_OF_WEEK
2020-03-07,GBR,GADM,GBR.1_1,England,0.04478,0.18994,full_february,DAY_OF_WEEK
2020-03-08,GBR,GADM,GBR.1_1,England,0.07032,0.24273,full_february,DAY_OF_WEEK
2020-03-09,GBR,GADM,GBR.1_1,England,0.01838,0.1549,full_february,DAY_OF_WEEK
2020-03-10,GBR,GADM,GBR.1_1,England,-0.00194,0.15233,full_february,DAY_OF_WEEK
2020-03-11,GBR,GADM,GBR.1_1,England,-0.00411,0.14753,full_february,DAY_OF_WEEK
2020-03-12,GBR,GADM,GBR.1_1,England,-0.01457,0.15076,full_february,DAY_OF_WEEK
2020-03-13,GBR,GADM,GBR.1_1,England,-0.02269,0.14922,full_february,DAY_OF_WEEK
2020-03-14,GBR,GADM,GBR.1_1,England,-0.03137,0.21286,full_february,DAY_OF_WEEK
2020-03-15,GBR,GADM,GBR.1_1,England,-0.04537,0.28016,full_february,DAY_OF_WEEK
2020-03-16,GBR,GADM,GBR.1_1,England,-0.02897,0.17206,full_february,DAY_OF_WEEK
2020-03-17,GBR,GADM,GBR.1_1,England,-0.10099,0.19173,full_february,DAY_OF_WEEK
2020-03-18,GBR,GADM,GBR.1_1,England,-0.15974,0.21634,full_february,DAY_OF_WEEK
2020-03-19,GBR,GADM,GBR.1_1,England,-0.16627,0.222,full_february,DAY_OF_WEEK
2020-03-20,GBR,GADM,GBR.1_1,England,-0.19684,0.22892,full_february,DAY_OF_WEEK
2020-03-21,GBR,GADM,GBR.1_1,England,-0.23157,0.30884,full_february,DAY_OF_WEEK
2020-03-22,GBR,GADM,GBR.1_1,England,-0.27076,0.38891,full_february,DAY_OF_WEEK
2020-03-23,GBR,GADM,GBR.1_1,England,-0.30823,0.32177,full_february,DAY_OF_WEEK
2020-03-24,GBR,GADM,GBR.1_1,England,-0.43914,0.39086,full_february,DAY_OF_WEEK
2020-03-25,GBR,GADM,GBR.1_1,England,-0.48995,0.41218,full_february,DAY_OF_WEEK
2020-03-26,GBR,GADM,GBR.1_1,England,-0.50574,0.41984,full_february,DAY_OF_WEEK
2020-03-27,GBR,GADM,GBR.1_1,England,-0.51872,0.41687,full_february,DAY_OF_WEEK
2020-03-28,GBR,GADM,GBR.1_1,England,-0.56272,0.5039,full_february,DAY_OF_WEEK
2020-03-29,GBR,GADM,GBR.1_1,England,-0.5786,0.57574,full_february,DAY_OF_WEEK
2020-03-30,GBR,GADM,GBR.1_1,England,-0.5345,0.45827,full_february,DAY_OF_WEEK
2020-03-31,GBR,GADM,GBR.1_1,England,-0.52588,0.43939,full_february,DAY_OF_WEEK
2020-04-01,GBR,GADM,GBR.1_1,England,-0.54083,0.44371,full_february,DAY_OF_WEEK
2020-04-02,GBR,GADM,GBR.1_1,England,-0.54257,0.44337,full_february,DAY_OF_WEEK
2020-04-03,GBR,GADM,GBR.1_1,England,-0.52994,0.42004,full_february,DAY_OF_WEEK
2020-04-04,GBR,GADM,GBR.1_1,England,-0.52732,0.4659,full_february,DAY_OF_WEEK
2020-04-05,GBR,GADM,GBR.1_1,England,-0.51422,0.51906,full_february,DAY_OF_WEEK
2020-04-06,GBR,GADM,GBR.1_1,England,-0.51662,0.43839,full_february,DAY_OF_WEEK
2020-04-07,GBR,GADM,GBR.1_1,England,-0.50895,0.42222,full_february,DAY_OF_WEEK
2020-04-08,GBR,GADM,GBR.1_1,England,-0.51589,0.41778,full_february,DAY_OF_WEEK
2020-04-09,GBR,GADM,GBR.1_1,England,-0.49542,0.40503,full_february,DAY_OF_WEEK
2020-04-10,GBR,GADM,GBR.1_1,England,-0.57653,0.44179,full_february,DAY_OF_WEEK
2020-04-11,GBR,GADM,GBR.1_1,England,-0.5169,0.44957,full_february,DAY_OF_WEEK
2020-04-12,GBR,GADM,GBR.1_1,England,-0.54707,0.5473,full_february,DAY_OF_WEEK
2020-04-13,GBR,GADM,GBR.1_1,England,-0.61446,0.50213,full_february,DAY_OF_WEEK
2020-04-14,GBR,GADM,GBR.1_1,England,-0.49791,0.41302,full_february,DAY_OF_WEEK
2020-04-15,GBR,GADM,GBR.1_1,England,-0.49495,0.40697,full_february,DAY_OF_WEEK
2020-04-16,GBR,GADM,GBR.1_1,England,-0.4962,0.40683,full_february,DAY_OF_WEEK
2020-04-17,GBR,GADM,GBR.1_1,England,-0.51386,0.416,full_february,DAY_OF_WEEK
2020-04-18,GBR,GADM,GBR.1_1,England,-0.5213,0.47058,full_february,DAY_OF_WEEK
2020-04-19,GBR,GADM,GBR.1_1,England,-0.46106,0.48712,full_february,DAY_OF_WEEK
2020-04-20,GBR,GADM,GBR.1_1,England,-0.46957,0.40605,full_february,DAY_OF_WEEK
2020-04-21,GBR,GADM,GBR.1_1,England,-0.46747,0.3975,full_february,DAY_OF_WEEK
2020-04-22,GBR,GADM,GBR.1_1,England,-0.47269,0.39069,full_february,DAY_OF_WEEK
2020-04-23,GBR,GADM,GBR.1_1,England,-0.46803,0.38667,full_february,DAY_OF_WEEK
2020-04-24,GBR,GADM,GBR.1_1,England,-0.46131,0.37084,full_february,DAY_OF_WEEK
2020-04-25,GBR,GADM,GBR.1_1,England,-0.44845,0.41468,full_february,DAY_OF_WEEK
2020-04-26,GBR,GADM,GBR.1_1,England,-0.43444,0.47458,full_february,DAY_OF_WEEK
