# https://data.humdata.org/dataset/movement-range-maps
ds,country,polygon_source,polygon_id,polygon_name,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users,baseline_name,baseline_type
2020-03-01,ISL,GADM,ISL.1_1,Austurland,-0.40134,0.29393,full_february,DAY_OF_WEEK
2020-03-02,ISL,GADM,ISL.1_1,Austurland,0.03324,0.1459,full_february,DAY_OF_WEEK
2020-03-03,ISL,GADM,ISL.1_1,Austurland,-0.02182,0.12776,full_february,DAY_OF_WEEK
2020-03-04,ISL,GADM,ISL.1_1,Austurland,0.11693,0.11601,full_february,DAY_OF_WEEK
2020-03-05,ISL,GADM,ISL.1_1,Austurland,0.09089,0.12691,full_february,DAY_OF_WEEK
2020-03-06,ISL,GADM,ISL.1_1,Austurland,0.34325,0.11737,full_february,DAY_OF_WEEK
2020-03-07,ISL,GADM,ISL.1_1,Austurland,0.00247,0.22891,full_february,DAY_OF_WEEK
2020-03-08,ISL,GADM,ISL.1_1,Austurland,-0.08977,0.27571,full_february,DAY_OF_WEEK
2020-03-09,ISL,GADM,ISL.1_1,Austurland,0.05854,0.12837,full_february,DAY_OF_WEEK
2020-03-10,ISL,GADM,ISL.1_1,Austurland,-0.05538,0.14896,full_february,DAY_OF_WEEK
2020-03-11,ISL,GADM,ISL.1_1,Austurland,-0.1456,0.17004,full_february,DAY_OF_WEEK
2020-03-12,ISL,GADM,ISL.1_1,Austurland,-0.02343,0.14271,full_february,DAY_OF_WEEK
2020-03-13,ISL,GADM,ISL.1_1,Austurland,0.03805,0.1703,full_february,DAY_OF_WEEK
2020-03-14,ISL,GADM,ISL.1_1,Austurland,-0.04246,0.25556,full_february,DAY_OF_WEEK
2020-03-15,ISL,GADM,ISL.1_1,Austurland,-0.1299,0.27052,full_february,DAY_OF_WEEK
2020-03-16,ISL,GADM,ISL.1_1,Austurland,-0.11172,0.16696,full_february,DAY_OF_WEEK
2020-03-17,ISL,GADM,ISL.1_1,Austurland,-0.08934,0.14624,full_february,DAY_OF_WEEK
2020-03-18,ISL,GADM,ISL.1_1,Austurland,-0.135,0.17732,full_february,DAY_OF_WEEK
2020-03-19,ISL,GADM,ISL.1_1,Austurland,-0.0971,0.15408,full_february,DAY_OF_WEEK
2020-03-20,ISL,GADM,ISL.1_1,Austurland,-0.00827,0.17622,full_february,DAY_OF_WEEK
2020-03-21,ISL,GADM,ISL.1_1,Austurland,-0.15773,0.29739,full_february,DAY_OF_WEEK
2020-03-22,ISL,GADM,ISL.1_1,Austurland,-0.41922,0.36554,full_february,DAY_OF_WEEK
2020-03-23,ISL,GADM,ISL.1_1,Austurland,-0.25863,0.21546,full_february,DAY_OF_WEEK
2020-03-24,ISL,GADM,ISL.1_1,Austurland,-0.23442,0.1855,full_february,DAY_OF_WEEK
2020-03-25,ISL,GADM,ISL.1_1,Austurland,-0.26266,0.18994,full_february,DAY_OF_WEEK
2020-03-26,ISL,GADM,ISL.1_1,Austurland,-0.33899,0.20703,full_february,DAY_OF_WEEK
2020-03-27,ISL,GADM,ISL.1_1,Austurland,-0.16049,0.21328,full_february,DAY_OF_WEEK
2020-03-28,ISL,GADM,ISL.1_1,Austurland,-0.15021,0.27082,full_february,DAY_OF_WEEK
2020-03-29,ISL,GADM,ISL.1_1,Austurland,-0.26234,0.28955,full_february,DAY_OF_WEEK
2020-03-30,ISL,GADM,ISL.1_1,Austurland,-0.22033,0.19847,full_february,DAY_OF_WEEK
2020-03-31,ISL,GADM,ISL.1_1,Austurland,-0.25983,0.21197,full_february,DAY_OF_WEEK
2020-04-01,ISL,GADM,ISL.1_1,Austurland,-0.27733,0.21512,full_february,DAY_OF_WEEK
2020-04-02,ISL,GADM,ISL.1_1,Austurland,-0.35825,0.24325,full_february,DAY_OF_WEEK
2020-04-03,ISL,GADM,ISL.1_1,Austurland,-0.14922,0.2014,full_february,DAY_OF_WEEK
2020-04-04,ISL,GADM,ISL.1_1,Austurland,-0.22554,0.28462,full_february,DAY_OF_WEEK
2020-04-05,ISL,GADM,ISL.1_1,Austurland,-0.51108,0.40534,full_february,DAY_OF_WEEK
2020-04-06,ISL,GADM,ISL.1_1,Austurland,-0.16345,0.18556,full_february,DAY_OF_WEEK
2020-04-07,ISL,GADM,ISL.1_1,Austurland,-0.06979,0.1664,full_february,DAY_OF_WEEK
2020-04-08,ISL,GADM,ISL.1_1,Austurland,-0.10257,0.17596,full_february,DAY_OF_WEEK
2020-04-09,ISL,GADM,ISL.1_1,Austurland,-0.25164,0.23622,full_february,DAY_OF_WEEK
2020-04-10,ISL,GADM,ISL.1_1,Austurland,-0.18435,0.32408,full_february,DAY_OF_WEEK
2020-04-11,ISL,GADM,ISL.1_1,Austurland,-0.06729,0.19738,full_february,DAY_OF_WEEK
2020-04-12,ISL,GADM,ISL.1_1,Austurland,-0.09741,0.28054,full_february,DAY_OF_WEEK
2020-04-13,ISL,GADM,ISL.1_1,Austurland,-0.18684,0.27375,full_february,DAY_OF_WEEK
2020-04-14,ISL,GADM,ISL.1_1,Austurland,-0.18824,0.18765,full_february,DAY_OF_WEEK
2020-04-15,ISL,GADM,ISL.1_1,Austurland,-0.1152,0.17236,full_february,DAY_OF_WEEK
2020-04-16,ISL,GADM,ISL.1_1,Austurland,0.02989,0.1515,full_february,DAY_OF_WEEK
2020-04-17,ISL,GADM,ISL.1_1,Austurland,0.2942,0.1343,full_february,DAY_OF_WEEK
2020-04-18,ISL,GADM,ISL.1_1,Austurland,0.13674,0.20234,full_february,DAY_OF_WEEK
2020-04-19,ISL,GADM,ISL.1_1,Austurland,-0.17322,0.26216,full_february,DAY_OF_WEEK
2020-04-20,ISL,GADM,ISL.1_1,Austurland,0.03638,0.14144,full_february,DAY_OF_WEEK
2020-04-21,ISL,GADM,ISL.1_1,Austurland,-0.01213,0.14753,full_february,DAY_OF_WEEK
2020-04-22,ISL,GADM,ISL.1_1,Austurland,0.02524,0.14213,full_february,DAY_OF_WEEK
2020-04-23,ISL,GADM,ISL.1_1,Austurland,-0.07379,0.15895,full_february,DAY_OF_WEEK
2020-04-24,ISL,GADM,ISL.1_1,Austurland,0.09405,0.17864,full_february,DAY_OF_WEEK
2020-04-25,ISL,GADM,ISL.1_1,Austurland,-0.02041,0.25239,full_february,DAY_OF_WEEK
2020-04-26,ISL,GADM,ISL.1_1,Austurland,-0.06632,0.23481,full_february,DAY_OF_WEEK
