ds,country,polygon_source,polygon_id,polygon_name,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users,baseline_name,baseline_type
2020-03-01,NOR,GADM,NOR.12_1,Oslo,-0.14034,0.28197,full_february,DAY_OF_WEEK
2020-03-02,NOR,GADM,NOR.12_1,Oslo,-0.03867,0.12383,full_february,DAY_OF_WEEK
2020-03-03,NOR,GADM,NOR.12_1,Oslo,-0.04451,0.1252,full_february,DAY_OF_WEEK
2020-03-04,NOR,GADM,NOR.12_1,Oslo,-0.03977,0.12686,full_february,DAY_OF_WEEK
2020-03-05,NOR,GADM,NOR.12_1,Oslo,0.01023,0.11302,full_february,DAY_OF_WEEK
2020-03-06,NOR,GADM,NOR.12_1,Oslo,-0.02703,0.11697,full_february,DAY_OF_WEEK
2020-03-07,NOR,GADM,NOR.12_1,Oslo,-0.04113,0.18916,full_february,DAY_OF_WEEK
2020-03-08,NOR,GADM,NOR.12_1,Oslo,-0.15885,0.29951,full_february,DAY_OF_WEEK
2020-03-09,NOR,GADM,NOR.12_1,Oslo,-0.03837,0.1252,full_february,DAY_OF_WEEK
2020-03-10,NOR,GADM,NOR.12_1,Oslo,-0.06491,0.13784,full_february,DAY_OF_WEEK
2020-03-11,NOR,GADM,NOR.12_1,Oslo,-0.04126,0.12787,full_february,DAY_OF_WEEK
2020-03-12,NOR,GADM,NOR.12_1,Oslo,-0.08306,0.1493,full_february,DAY_OF_WEEK
2020-03-13,NOR,GADM,NOR.12_1,Oslo,-0.25865,0.22723,full_february,DAY_OF_WEEK
2020-03-14,NOR,GADM,NOR.12_1,Oslo,-0.26671,0.30031,full_february,DAY_OF_WEEK
2020-03-15,NOR,GADM,NOR.12_1,Oslo,-0.50834,0.5055,full_february,DAY_OF_WEEK
2020-03-16,NOR,GADM,NOR.12_1,Oslo,-0.32753,0.28665,full_february,DAY_OF_WEEK
2020-03-17,NOR,GADM,NOR.12_1,Oslo,-0.34089,0.30622,full_february,DAY_OF_WEEK
2020-03-18,NOR,GADM,NOR.12_1,Oslo,-0.34249,0.30338,full_february,DAY_OF_WEEK
2020-03-19,NOR,GADM,NOR.12_1,Oslo,-0.34823,0.3005,full_february,DAY_OF_WEEK
2020-03-20,NOR,GADM,NOR.12_1,Oslo,-0.36858,0.29098,full_february,DAY_OF_WEEK
2020-03-21,NOR,GADM,NOR.12_1,Oslo,-0.26616,0.31257,full_february,DAY_OF_WEEK
2020-03-22,NOR,GADM,NOR.12_1,Oslo,-0.41769,0.45359,full_february,DAY_OF_WEEK
2020-03-23,NOR,GADM,NOR.12_1,Oslo,-0.39312,0.33051,full_february,DAY_OF_WEEK
2020-03-24,NOR,GADM,NOR.12_1,Oslo,-0.40817,0.35244,full_february,DAY_OF_WEEK
2020-03-25,NOR,GADM,NOR.12_1,Oslo,-0.38573,0.33358,full_february,DAY_OF_WEEK
2020-03-26,NOR,GADM,NOR.12_1,Oslo,-0.37403,0.32093,full_february,DAY_OF_WEEK
2020-03-27,NOR,GADM,NOR.12_1,Oslo,-0.38591,0.30568,full_february,DAY_OF_WEEK
2020-03-28,NOR,GADM,NOR.12_1,Oslo,-0.27812,0.3175,full_february,DAY_OF_WEEK
2020-03-29,NOR,GADM,NOR.12_1,Oslo,-0.37286,0.43802,full_february,DAY_OF_WEEK
2020-03-30,NOR,GADM,NOR.12_1,Oslo,-0.34445,0.30885,full_february,DAY_OF_WEEK
2020-03-31,NOR,GADM,NOR.12_1,Oslo,-0.30377,0.28973,full_february,DAY_OF_WEEK
2020-04-01,NOR,GADM,NOR.12_1,Oslo,-0.32846,0.3003,full_february,DAY_OF_WEEK
2020-04-02,NOR,GADM,NOR.12_1,Oslo,-0.36392,0.31829,full_february,DAY_OF_WEEK
2020-04-03,NOR,GADM,NOR.12_1,Oslo,-0.33115,0.27376,full_february,DAY_OF_WEEK
